Order_ID,Order_Date,Region,Product_Category,Marketing_Spend,Website_Visits,Orders,Revenue,Return_Rate,Delivery_Days,Customer_Rating,Payment_Mode,Discount_Percent,Shipping_Cost,Customer_Segment,Repeat_Customer
ORD10001,14-01-2025,West,Shoes,6091,8764,394,739932,14,7,3.2,Net Banking,17,217,Regular,No
ORD10002,29-03-2025,North,Watches,3881,16190,265,857805,2.7,2,4.6,UPI,12,121,Regular,Yes
ORD10003,23-01-2025,East,Shoes,3792,18993,294,590352,7.5,1,4.3,UPI,33,91,Budget,Yes
ORD10004,06-02-2025,South,Shoes,8732,14055,326,904976,11.1,6,2.6,UPI,13,200,Regular,No
ORD10005,29-03-2025,East,Watches,2551,13524,408,1377000,3.7,3,4.9,Debit Card,25,211,Budget,Yes
ORD10006,18-05-2025,East,Clothing,4034,15356,188,628672,4.9,4,4.3,UPI,25,126,Regular,Yes
ORD10007,18-06-2025,West,Watches,6380,16080,170,408850,12.7,6,4.2,Debit Card,28,196,Budget,Yes
ORD10008,28-03-2025,North,Watches,5906,17294,273,498498,4.3,1,4.4,COD,33,170,Regular,Yes
ORD10009,17-05-2025,North,Bags,5630,17321,364,828828,8.3,4,5,COD,22,203,Premium,Yes
ORD10010,18-05-2025,East,Electronics,2680,7166,214,585076,5.6,4,4.8,Credit Card,11,85,Regular,Yes
ORD10011,25-06-2025,West,Electronics,5001,8779,338,651664,15,7,3.9,UPI,21,170,Premium,No
ORD10012,21-04-2025,North,Clothing,2800,15955,357,1106700,6.8,4,4.2,Credit Card,17,87,Regular,Yes
ORD10013,01-05-2025,North,Clothing,4196,12707,186,578088,4,3,4.1,Debit Card,25,121,Premium,No
ORD10014,23-06-2025,South,Bags,8047,8284,391,1206235,9.1,5,4,Debit Card,6,212,Budget,No
ORD10015,20-03-2025,South,Bags,6509,9072,316,787156,10.3,7,3.5,COD,21,110,Budget,No
ORD10016,09-04-2025,East,Shoes,4362,17951,185,465275,1,2,4.4,Credit Card,19,195,Regular,Yes
ORD10017,08-01-2025,South,Clothing,8569,15467,311,914029,10.6,6,2.9,Net Banking,9,167,Premium,No
ORD10018,20-05-2025,West,Watches,6392,8521,154,377608,15.7,8,4,Credit Card,12,132,Regular,No
ORD10019,12-04-2025,North,Clothing,3307,15276,231,774312,6,1,4.5,COD,33,84,Regular,Yes
ORD10020,25-05-2025,South,Shoes,6298,8372,267,783645,12.6,8,3.2,Net Banking,22,114,Premium,No
ORD10021,04-05-2025,East,Electronics,3552,18694,393,1373928,2.4,1,4.3,Credit Card,23,204,Regular,Yes
ORD10022,27-02-2025,South,Clothing,8679,19951,333,1014651,13.1,4,3.4,Net Banking,20,167,Premium,No
ORD10023,26-06-2025,North,Bags,3982,17960,399,1061739,5,4,4.6,COD,15,171,Regular,Yes
ORD10024,29-03-2025,South,Watches,8301,8023,395,1046355,12.8,7,4.6,Credit Card,17,208,Premium,Yes
ORD10025,24-05-2025,East,Bags,3712,9004,412,965316,8.4,1,4.8,Credit Card,21,234,Premium,Yes
ORD10026,08-04-2025,North,Clothing,3722,8760,299,889226,3.4,4,4.1,COD,29,163,Budget,No
ORD10027,25-04-2025,West,Electronics,7340,12636,243,781002,10.4,8,4.3,Net Banking,19,208,Regular,Yes
ORD10028,28-03-2025,North,Watches,2581,14014,349,982784,6.6,1,4.5,Debit Card,28,113,Budget,Yes
ORD10029,11-01-2025,East,Clothing,3834,13058,408,918816,7.6,2,4.8,Debit Card,24,88,Budget,Yes
ORD10030,03-06-2025,West,Clothing,6313,18957,278,629948,14.1,4,4.2,Credit Card,27,96,Regular,Yes
ORD10031,13-02-2025,East,Bags,2677,16946,183,515511,6.2,4,4.3,COD,26,122,Premium,Yes
ORD10032,10-03-2025,South,Clothing,6240,15189,401,1105557,9.3,5,3.7,Net Banking,12,152,Premium,No
ORD10033,27-01-2025,East,Clothing,5807,10199,313,606594,6.2,3,4.9,Debit Card,25,180,Regular,Yes
ORD10034,29-01-2025,North,Clothing,5619,17716,291,831969,4.7,4,4.5,Debit Card,16,119,Premium,Yes
ORD10035,19-02-2025,South,Watches,6001,10410,198,519948,12.4,4,3.1,UPI,34,86,Regular,No
ORD10036,17-06-2025,West,Clothing,5171,11039,367,987964,10.3,4,3.8,COD,27,154,Regular,No
ORD10037,29-01-2025,West,Bags,7111,7425,371,942340,9.8,5,4.1,Debit Card,30,119,Premium,No
ORD10038,17-04-2025,South,Clothing,6600,16182,228,592344,14.1,7,2.8,UPI,7,207,Regular,No
ORD10039,05-02-2025,East,Shoes,2999,14538,417,1051674,4.8,2,4.4,UPI,22,237,Regular,Yes
ORD10040,14-05-2025,West,Bags,5873,13399,419,794424,8.8,6,3.3,UPI,8,210,Budget,No
ORD10041,20-06-2025,West,Shoes,8928,13296,226,600482,10.6,5,4.1,COD,9,201,Premium,No
ORD10042,11-02-2025,North,Bags,2902,9398,236,645932,6.2,1,5,Debit Card,18,131,Premium,Yes
ORD10043,15-01-2025,South,Shoes,7849,8479,214,677952,9.8,7,3.5,Debit Card,6,171,Premium,No
ORD10044,03-03-2025,South,Electronics,7750,9343,202,642764,9.6,6,3.3,Credit Card,5,154,Budget,No
ORD10045,13-04-2025,West,Watches,5237,16013,128,206336,14.3,4,4.4,COD,14,140,Budget,Yes
ORD10046,01-01-2025,West,Electronics,6506,13072,340,702440,9.5,8,4.1,UPI,32,186,Budget,No
ORD10047,16-03-2025,West,Bags,8278,12743,309,1036386,14.4,4,3.7,Credit Card,5,245,Premium,No
ORD10048,07-04-2025,South,Clothing,6821,8714,367,1108707,14.1,6,3.5,COD,35,216,Regular,No
ORD10049,12-06-2025,North,Watches,5458,12869,289,980577,3,2,4.2,Net Banking,20,152,Budget,Yes
ORD10050,11-02-2025,East,Shoes,5484,7509,375,1155000,4.4,3,4.6,COD,26,121,Regular,Yes
ORD10051,17-02-2025,North,Watches,3607,8986,408,795600,2,1,4.7,Credit Card,16,94,Regular,Yes
ORD10052,03-02-2025,West,Electronics,7543,11259,312,1067664,17.2,4,3.9,Net Banking,22,110,Premium,No
ORD10053,26-03-2025,West,Bags,8918,10849,181,360371,12.1,7,3.6,Net Banking,31,108,Premium,No
ORD10054,23-04-2025,East,Bags,5859,9167,279,502200,2.2,2,4.6,COD,18,133,Premium,Yes
ORD10055,17-04-2025,South,Shoes,7195,11369,287,615328,8.8,5,3.8,Credit Card,29,179,Premium,No
ORD10056,07-01-2025,North,Clothing,3590,16313,193,599458,6.9,4,4.4,COD,26,219,Regular,Yes
ORD10057,21-03-2025,West,Shoes,6262,11667,405,894645,13,5,3.3,Debit Card,18,134,Premium,No
ORD10058,19-04-2025,North,Watches,5228,7775,320,721600,5.4,2,4.8,Debit Card,33,96,Budget,Yes
ORD10059,18-02-2025,East,Clothing,5412,15762,420,1069740,4.5,4,4.1,UPI,7,135,Regular,No
ORD10060,11-01-2025,West,Shoes,7765,7583,219,682842,7.9,5,4.4,UPI,21,105,Regular,Yes
ORD10061,01-05-2025,East,Bags,5133,17778,283,757591,4.2,2,4.4,UPI,26,106,Premium,Yes
ORD10062,25-02-2025,South,Watches,6236,12976,310,824910,13.5,8,3.6,Credit Card,27,147,Regular,No
ORD10063,17-02-2025,North,Shoes,4628,19433,332,1048788,4.6,2,5,Debit Card,24,105,Budget,Yes
ORD10064,05-03-2025,East,Shoes,3713,19335,299,766636,5.7,3,4.7,Net Banking,25,152,Budget,Yes
ORD10065,31-05-2025,West,Watches,5162,13142,126,264474,12.9,5,3.8,Debit Card,20,175,Budget,No
ORD10066,15-02-2025,North,Clothing,3448,16401,278,577684,3.3,1,4.2,Debit Card,21,105,Budget,Yes
ORD10067,01-03-2025,East,Bags,4976,17348,396,1050192,5.5,3,4.3,Credit Card,30,246,Regular,Yes
